Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   420 |     3690
  query    |   450 |     2057
  gallery  |   934 |    42929
  camstyle  |     0 |        0
Epoch: [5][25/28]	Time 0.779 (0.862)	Data 0.254 (0.341)	Loss 3.927 (4.456)	Prec 42.19% (38.34%)	
Epoch: [5][26/28]	Time 0.775 (0.859)	Data 0.254 (0.337)	Loss 4.062 (4.441)	Prec 38.28% (38.34%)	
Epoch: [5][27/28]	Time 0.776 (0.856)	Data 0.255 (0.334)	Loss 4.163 (4.431)	Prec 39.84% (38.40%)	
Epoch: [5][28/28]	Time 0.779 (0.853)	Data 0.259 (0.332)	Loss 4.606 (4.437)	Prec 40.62% (38.48%)	

 * Finished epoch   5 

Epoch: [6][1/28]	Time 3.098 (3.098)	Data 2.530 (2.530)	Loss 4.552 (4.552)	Prec 35.16% (35.16%)	
Epoch: [6][2/28]	Time 0.782 (1.940)	Data 0.261 (1.396)	Loss 4.247 (4.400)	Prec 38.28% (36.72%)	
Epoch: [6][3/28]	Time 0.811 (1.564)	Data 0.261 (1.017)	Loss 3.951 (4.250)	Prec 44.53% (39.32%)	
Epoch: [6][4/28]	Time 0.756 (1.362)	Data 0.234 (0.822)	Loss 4.004 (4.189)	Prec 35.16% (38.28%)	
Epoch: [6][5/28]	Time 0.795 (1.248)	Data 0.269 (0.711)	Loss 4.197 (4.190)	Prec 36.72% (37.97%)	
Epoch: [6][6/28]	Time 0.777 (1.170)	Data 0.255 (0.635)	Loss 4.107 (4.176)	Prec 42.97% (38.80%)	
Epoch: [6][7/28]	Time 0.783 (1.115)	Data 0.256 (0.581)	Loss 4.524 (4.226)	Prec 34.38% (38.17%)	
Epoch: [6][8/28]	Time 0.778 (1.073)	Data 0.254 (0.540)	Loss 4.027 (4.201)	Prec 35.94% (37.89%)	
Epoch: [6][9/28]	Time 0.778 (1.040)	Data 0.257 (0.509)	Loss 4.313 (4.214)	Prec 39.84% (38.11%)	
Epoch: [6][10/28]	Time 0.782 (1.014)	Data 0.259 (0.484)	Loss 3.686 (4.161)	Prec 42.97% (38.59%)	
Epoch: [6][11/28]	Time 0.781 (0.993)	Data 0.255 (0.463)	Loss 4.405 (4.183)	Prec 35.16% (38.28%)	
Epoch: [6][12/28]	Time 0.783 (0.975)	Data 0.258 (0.446)	Loss 4.572 (4.215)	Prec 36.72% (38.15%)	
Epoch: [6][13/28]	Time 0.776 (0.960)	Data 0.256 (0.431)	Loss 4.569 (4.243)	Prec 38.28% (38.16%)	
Epoch: [6][14/28]	Time 0.781 (0.947)	Data 0.259 (0.419)	Loss 4.486 (4.260)	Prec 32.81% (37.78%)	
Epoch: [6][15/28]	Time 0.779 (0.936)	Data 0.256 (0.408)	Loss 4.087 (4.248)	Prec 42.97% (38.13%)	
Epoch: [6][16/28]	Time 0.785 (0.927)	Data 0.258 (0.399)	Loss 4.418 (4.259)	Prec 39.84% (38.23%)	
Epoch: [6][17/28]	Time 0.778 (0.918)	Data 0.255 (0.390)	Loss 4.762 (4.289)	Prec 32.03% (37.87%)	
Epoch: [6][18/28]	Time 0.784 (0.910)	Data 0.262 (0.383)	Loss 4.410 (4.295)	Prec 36.72% (37.80%)	
Epoch: [6][19/28]	Time 0.779 (0.904)	Data 0.256 (0.376)	Loss 4.068 (4.283)	Prec 45.31% (38.20%)	
Epoch: [6][20/28]	Time 0.785 (0.898)	Data 0.261 (0.371)	Loss 4.434 (4.291)	Prec 32.81% (37.93%)	
Epoch: [6][21/28]	Time 0.781 (0.892)	Data 0.255 (0.365)	Loss 4.802 (4.315)	Prec 31.25% (37.61%)	
Epoch: [6][22/28]	Time 0.786 (0.887)	Data 0.259 (0.360)	Loss 5.248 (4.358)	Prec 44.53% (37.93%)	
Epoch: [6][23/28]	Time 0.788 (0.883)	Data 0.260 (0.356)	Loss 4.051 (4.344)	Prec 40.62% (38.04%)	
Epoch: [6][24/28]	Time 0.782 (0.879)	Data 0.258 (0.352)	Loss 4.694 (4.359)	Prec 32.81% (37.83%)	
Epoch: [6][25/28]	Time 0.782 (0.875)	Data 0.257 (0.348)	Loss 4.383 (4.360)	Prec 35.94% (37.75%)	
Epoch: [6][26/28]	Time 0.780 (0.871)	Data 0.256 (0.345)	Loss 4.119 (4.351)	Prec 40.62% (37.86%)	
Epoch: [6][27/28]	Time 0.782 (0.868)	Data 0.259 (0.341)	Loss 4.245 (4.347)	Prec 42.19% (38.02%)	
Epoch: [6][28/28]	Time 0.782 (0.865)	Data 0.255 (0.338)	Loss 3.757 (4.326)	Prec 44.53% (38.25%)	

 * Finished epoch   6 

